Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  16:00:00,1.7905750065986828,0.0,9.816418312832969,9.526250690417668,39.21662025174042,0.0,5812.315488,0.0,661661.2519701427,0.0,,,,,,,,,,,,,968.719248,0.0,106992.8836800468,0.0 
 01/01  16:10:00,1.623908339932016,0.0,9.690557520367563,9.398742549615199,39.55369006400411,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,106915.94415377632,0.0 
 01/01  16:20:00,1.4572416732653495,0.0,9.568354348398625,9.261225315520582,39.92075286765166,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,107142.70080164961,0.0 
 01/01  16:30:00,1.2905750065986828,0.0,9.440239564053777,9.118648246151216,40.30595727444125,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,107622.31564520425,0.0 
 01/01  16:40:00,1.123908339932016,0.0,9.344440762094005,8.983910065035924,40.67410474435788,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,108303.87342064808,0.0 
 01/01  16:50:00,0.9572416732653494,0.0,9.25225948727042,8.863219915639397,41.00689817850145,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,109089.31178536659,0.0 
 01/01  17:00:00,0.7905750065986827,0.0,9.13096945952208,8.745119518253994,41.334926668176347,0.0,5812.315488,0.0,648944.2795080934,0.0,,,,,,,,,,,,,968.719248,0.0,109870.13370144859,0.0 
 01/01  17:10:00,0.4739083399320161,0.0,9.054238018420257,8.630793419045,41.65692750133715,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,110815.81560548146,0.0 
 01/01  17:20:00,0.15724167326534944,0.0,8.983452354912219,8.528119307999745,41.947785326744,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,112538.08113428833,0.0 
 01/01  17:30:00,-0.15942499340131734,0.0,8.914671566260843,8.437077337234879,42.20408024141282,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,114521.75196643558,0.0 
