Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/02  05:00:00,5812.315488,0.0,1170678.8318841197,0.0,,,,,,,,,,,,,968.719248,0.0,196908.27584392287,0.0 
 01/02  05:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151955,0.0 
 01/02  05:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151958,0.0 
 01/02  05:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151962,0.0 
 01/02  05:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151958,0.0 
 01/02  05:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151962,0.0 
 01/02  06:00:00,5812.315488,0.0,4594752.943291176,0.0,,,,,,,,,,,,,968.719248,0.0,765792.1572151964,0.0 
 01/02  06:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151957,0.0 
 01/02  06:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151958,0.0 
 01/02  06:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151958,0.0 
 01/02  06:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151957,0.0 
 01/02  06:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,765792.1572151958,0.0 
 01/02  07:00:00,5812.315488,0.0,4594752.943291174,0.0,,,,,,,,,,,,,968.719248,0.0,765792.1572151962,0.0 
 01/02  07:10:00,,,,,,,,,,,,,,,,,156227.36280000004,0.0,1721523.0801033285,0.0 
 01/02  07:20:00,,,,,,,,,,,,,,,,,156227.36280000004,0.0,1721523.080103329,0.0 
 01/02  07:30:00,,,,,,,,,,,,,,,,,156227.36280000004,0.0,1721523.0801033285,0.0 
 01/02  07:40:00,,,,,,,,,,,,,,,,,156227.36280000004,0.0,1721523.0801033285,0.0 
 01/02  07:50:00,,,,,,,,,,,,,,,,,156227.36280000004,0.0,1721523.080103329,0.0 
 01/02  08:00:00,937364.1768000001,0.0,10308862.323309785,0.0,,,,,,,,,,,,,156227.36280000004,0.0,1701246.9227931423,0.0 
