Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/02  09:50:00,,,,,,,,,,,,,,,,,191047.67940000003,0.0,1512217.2726743976,0.0 
 01/02  10:00:00,1497415.9367121484,0.0,9212203.2500396,0.0,,,,,,,,,,,,,239862.4722500923,0.0,1497894.1374851745,0.0 
 01/02  10:10:00,,,,,,,,,,,,,,,,,212055.6474185548,0.0,1484601.6355944868,0.0 
 01/02  10:20:00,,,,,,,,,,,,,,,,,266181.29187003799,0.0,1471478.0702474295,0.0 
 01/02  10:30:00,,,,,,,,,,,,,,,,,253302.1101221316,0.0,1458513.0226419694,0.0 
 01/02  10:40:00,,,,,,,,,,,,,,,,,253740.4199948836,0.0,1445752.5592550708,0.0 
 01/02  10:50:00,,,,,,,,,,,,,,,,,254922.96041612637,0.0,1433272.0711129215,0.0 
 01/02  11:00:00,1499623.985964964,0.0,8714842.811771114,0.0,,,,,,,,,,,,,259421.5561432296,0.0,1421225.4529192353,0.0 
 01/02  11:10:00,,,,,,,,,,,,,,,,,222171.1937806584,0.0,1409572.6112139808,0.0 
 01/02  11:20:00,,,,,,,,,,,,,,,,,218433.99071004097,0.0,1398498.5354137812,0.0 
 01/02  11:30:00,,,,,,,,,,,,,,,,,172772.85552,0.0,1387963.3765599509,0.0 
 01/02  11:40:00,,,,,,,,,,,,,,,,,172772.85552,0.0,1377973.02434074,0.0 
 01/02  11:50:00,,,,,,,,,,,,,,,,,172772.85552,0.0,1270710.4888708448,0.0 
 01/02  12:00:00,1131696.6065706993,0.0,8200258.22302845,0.0,,,,,,,,,,,,,172772.85552,0.0,1355540.1866291529,0.0 
 01/02  12:10:00,,,,,,,,,,,,,,,,,140791.91373,0.0,966606.1336140368,0.0 
 01/02  12:20:00,,,,,,,,,,,,,,,,,140791.91373,0.0,981507.0297137217,0.0 
 01/02  12:30:00,,,,,,,,,,,,,,,,,140791.91373,0.0,979879.3763013047,0.0 
 01/02  12:40:00,,,,,,,,,,,,,,,,,140791.91373,0.0,1019749.0094331487,0.0 
 01/02  12:50:00,,,,,,,,,,,,,,,,,140791.91373,0.0,914503.5743541932,0.0 
